
,Trade Date,,20191206

JPX Code,164120005
Instrument,FUT_TOPIX_1912
11727,ＧＭＯクリック証券,GMO CLICK Securities,92,11784,ライブスター証券,livestar Securities,49
11784,ライブスター証券,livestar Securities,51,11256,ＳＢＩ証券,SBI SECURITIES,17
11256,ＳＢＩ証券,SBI SECURITIES,17,12057,楽天証券,Rakuten Securities,14
12464,廣田証券,HIROTA SECURITIES,15,12560,松井証券,MATSUI SECURITIES,7
11060,ａｕカブコム証券,au Kabucom Securitie,11,11060,ａｕカブコム証券,au Kabucom Securitie,6
12560,松井証券,MATSUI SECURITIES,9,12464,廣田証券,HIROTA SECURITIES,6
12057,楽天証券,Rakuten Securities,7,11016,藍澤證券,AIZAWA SECURITIES,2
12795,インタラクティブ証券,Interactive Brokers,4,11272,岡三証券,OKASAN SECURITIES,2
11544,岩井コスモ証券,IwaiCosmo Securities,3,12000,大和証券,Daiwa Securities,2
11272,岡三証券,OKASAN SECURITIES,2,12330,マネックス証券,Monex,1
12330,マネックス証券,Monex,1,12724,ＨＳＢＣ証券,HSBC (Japan),1
12792,メリルリンチ日本証券,Merrill Lynch Japan,1,-,-,-,-

JPX Code,184123018
Instrument,PUT_NK225_191213_23000
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,769,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,561
11788,ソシエテ・ジェネラル,Societe Generale,319,11788,ソシエテ・ジェネラル,Societe Generale,357
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),268,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),260
12800,モルガンスタンレー,Morgan Stanley MUFG,100,11256,ＳＢＩ証券,SBI SECURITIES,155
12560,松井証券,MATSUI SECURITIES,87,12800,モルガンスタンレー,Morgan Stanley MUFG,150
11256,ＳＢＩ証券,SBI SECURITIES,71,12560,松井証券,MATSUI SECURITIES,128
11714,ＪＰモルガン証券,JPMorgan Japan,50,12057,楽天証券,Rakuten Securities,82
12464,廣田証券,HIROTA SECURITIES,45,11784,ライブスター証券,livestar Securities,22
12057,楽天証券,Rakuten Securities,42,11060,ａｕカブコム証券,au Kabucom Securitie,20
11060,ａｕカブコム証券,au Kabucom Securitie,18,12464,廣田証券,HIROTA SECURITIES,20
11056,安藤証券,ANDO SECURITIES,12,11272,岡三証券,OKASAN SECURITIES,15
12792,メリルリンチ日本証券,Merrill Lynch Japan,12,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,11
12330,マネックス証券,Monex,9,11696,みずほ証券,Mizuho Securities,10
11272,岡三証券,OKASAN SECURITIES,8,12330,マネックス証券,Monex,10
12795,インタラクティブ証券,Interactive Brokers,5,11727,ＧＭＯクリック証券,GMO CLICK Securities,8
11488,あかつき証券,Akatsuki Securities,5,12000,大和証券,Daiwa Securities,5
11727,ＧＭＯクリック証券,GMO CLICK Securities,4,11488,あかつき証券,Akatsuki Securities,5
12888,山和証券,YAMAWA SECURITIES,4,12072,東海東京証券,Tokai Tokyo Sec,5
11784,ライブスター証券,livestar Securities,4,11840,立花証券,TACHIBANA SECURITIES,5
12336,日産証券,Nissan Securities,2,11056,安藤証券,ANDO SECURITIES,2

JPX Code,134123118
Instrument,PUT_NK225_191213_23125
11788,ソシエテ・ジェネラル,Societe Generale,294,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,297
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,215,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),175
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),132,11788,ソシエテ・ジェネラル,Societe Generale,132
